Subject,Condition,Race,Gender,Trial,Puzzle,TaskOrd,SpatialPos,TemporalOrd,TempOrdWho,RespHelp,Prompted,TypeHelp,RespHelpWho,IndSolv
23,U,W,F,1,S,6,2,1,B,1,0,V,B,0
23,U,W,F,2,M,6,2,1,S,1,1,V,S,0
23,U,W,F,3,T,6,2,1,B,1,0,V,A,0
23,U,W,F,4,I,6,2,1,S,1,0,V,S,0
24,U,W,M,1,T,3,1,1,B,1,0,V,A,0
24,U,W,M,2,S,3,1,1,S,1,0,B,A,0
24,U,W,M,3,I,3,1,1,B,1,0,B,A,0
24,U,W,M,4,M,3,1,1,S,1,0,B,A,0
25,U,W,F,1,T,3,2,1,B,1,1,B,A,0
25,U,W,F,2,S,3,2,1,S,1,0,V,S,0
25,U,W,F,3,I,3,2,1,B,1,0,V,A,0
26,U,W,F,1,S,6,2,2,S,1,1,B,A,0
26,U,W,F,2,M,6,2,2,B,1,1,B,B,0
26,U,W,F,3,T,6,2,2,S,1,0,B,S,0
26,U,W,F,4,I,6,2,2,B,1,1,B,A,0
27,U,W,F,1,T,3,2,2,S,1,1,B,A,0
28,U,W,M,1,I,1,1,2,S,1,1,B,S,0
28,U,W,M,2,M,1,1,2,B,1,0,B,B,0
28,U,W,M,3,T,1,1,2,S,1,0,B,S,0
28,U,W,M,4,S,1,1,2,B,1,1,B,A,0
29,U,W,M,1,S,4,1,1,B,1,0,B,A,0
29,U,W,M,2,I,4,1,1,S,1,0,B,S,0
29,U,W,M,3,M,4,1,1,B,1,1,B,B,0
29,U,W,M,4,T,4,1,1,S,1,0,B,A,0
30,U,W,M,1,S,6,2,1,B,1,1,B,B,0
30,U,W,M,2,M,6,2,1,S,1,1,B,A,0
30,U,W,M,3,T,6,2,1,B,1,1,B,B,0
30,U,W,M,4,I,6,2,1,S,1,1,B,S,0
31,U,O,M,1,M,2,2,1,B,1,1,B,A,0
31,U,O,M,2,T,2,2,1,S,1,0,B,A,0
31,U,O,M,3,S,2,2,1,B,1,1,B,A,0
31,U,O,M,4,I,2,2,1,S,1,1,B,A,0
32,U,W,M,1,T,5,1,1,B,1,1,B,B,0
32,U,W,M,2,M,5,1,1,S,0,,,,1
32,U,W,M,4,S,5,1,1,S,1,1,B,A,0
33,U,O,M,1,I,7,1,1,B,1,1,B,A,0
33,U,O,M,2,T,7,1,1,S,1,1,B,A,0
33,U,O,M,3,S,7,1,1,B,1,1,B,A,0
33,U,O,M,4,M,7,1,1,S,1,1,B,A,0
34,U,O,M,1,M,2,2,2,S,1,1,B,S,0
34,U,O,M,2,T,2,2,2,B,1,0,B,B,0
34,U,O,M,3,S,2,2,2,S,1,0,B,S,0
34,U,O,M,4,I,2,2,2,B,1,1,B,A,0
35,U,A,M,1,S,6,1,2,S,1,1,B,S,0
35,U,A,M,2,M,6,1,2,B,1,0,B,A,0
36,U,W,M,1,S,4,1,2,S,1,0,B,A,0
36,U,W,M,2,I,4,1,2,B,1,0,B,B,0
36,U,W,M,3,M,4,1,2,S,1,0,B,S,0
36,U,W,M,4,T,4,1,2,B,1,0,B,B,0
37,U,W,M,1,S,4,2,1,B,0,,,,0
37,U,W,M,2,I,4,2,1,S,1,1,B,S,0
37,U,W,M,3,M,4,2,1,B,1,1,B,B,0
37,U,W,M,4,T,4,2,1,S,1,0,B,A,0
38,U,W,M,1,I,7,2,1,B,1,0,B,B,0
38,U,W,M,2,T,7,2,1,S,1,0,B,A,0
38,U,W,M,3,S,7,2,1,B,1,0,B,A,0
38,U,W,M,4,M,7,2,1,S,1,0,B,S,0
39,U,W,M,1,T,5,2,2,S,1,1,B,S,0
39,U,W,M,2,M,5,2,2,B,1,1,B,A,0
39,U,W,M,3,I,5,2,2,S,1,1,B,S,0
39,U,W,M,4,S,5,2,2,B,1,1,B,A,0
40,U,W,M,1,T,5,2,1,B,1,0,B,B,0
40,U,W,M,2,M,5,2,1,S,1,1,B,A,0
40,U,W,M,3,I,5,2,1,B,1,1,B,B,0
40,U,W,M,4,S,5,2,1,S,1,1,B,S,0
41,U,O,M,1,I,7,2,2,S,1,1,B,S,0
41,U,O,M,2,T,7,2,2,B,1,1,B,B,0
41,U,O,M,3,S,7,2,2,S,1,1,B,S,0
41,U,O,M,4,M,7,2,2,B,1,1,B,B,0
42,U,O,M,1,S,6,1,1,B,1,1,B,A,0
42,U,O,M,2,M,6,1,1,S,1,1,B,S,0
42,U,O,M,3,T,6,1,1,B,1,0,B,B,0
42,U,O,M,4,I,6,1,1,S,1,1,B,A,0
