Subject,Condition,Race,Gender,Trial,Puzzle,TaskOrd,AdultPos,KnowerPos,MenOrd,resphelp,typehelp,prompted,resphelpwho,respknower,IndSolv,,,,,,,,,,,,,,,,,,,
23,U,A,M,3,S,2,1,2,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
23,U,A,M,4,I,2,1,2,2,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
24,U,W,M,1,M,2,2,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
24,U,W,M,2,T,2,2,2,2,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
24,U,W,M,3,S,2,2,2,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
24,U,W,M,4,I,2,2,2,2,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
25,U,W,F,1,T,5,2,2,2,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
25,U,W,F,2,M,5,2,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
25,U,W,F,3,I,5,2,2,2,1,V,0,S,K,,,,,,,,,,,,,,,,,,,,
25,U,W,F,4,S,5,2,2,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
26,U,AA,F,1,S,6,1,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
26,U,AA,F,2,M,6,1,2,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
26,U,AA,F,3,T,6,1,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
26,U,AA,F,4,I,6,1,2,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
27,U,W,M,1,S,4,1,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
27,U,W,M,2,I,4,1,1,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
28,U,A/W,F,1,S,6,2,1,1,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
28,U,A/W,F,2,M,6,2,1,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
28,U,A/W,F,3,T,6,2,1,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
28,U,A/W,F,4,I,6,2,1,1,1,V,0,A,K,,,,,,,,,,,,,,,,,,,,
29,U,O,F,1,S,6,2,2,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
29,U,O,F,2,M,6,2,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
29,U,O,F,3,T,6,2,2,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
29,U,O,F,4,I,6,2,2,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
30,U,W,M,1,S,4,1,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
30,U,W,M,2,I,4,1,2,2,0,,,,,1,,,,,,,,,,,,,,,,,,,
30,U,W,M,3,M,4,1,2,2,0,,,,,1,,,,,,,,,,,,,,,,,,,
30,U,W,M,4,T,4,1,2,2,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
31,U,W,M,1,T,5,2,2,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
31,U,W,M,2,M,5,2,2,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
31,U,W,M,3,I,5,2,2,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
31,U,W,M,4,S,5,2,2,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
32,U,W,M,1,S,4,2,1,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
32,U,W,M,2,I,4,2,1,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
32,U,W,M,3,M,4,2,1,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
32,U,W,M,4,T,4,2,1,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
33,U,W,M,1,S,6,1,2,2,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
33,U,W,M,2,M,6,1,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
33,U,W,M,3,T,6,1,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
33,U,W,M,4,I,6,1,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
34,U,O,M,1,T,5,1,1,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
34,U,O,M,2,M,5,1,1,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
35,U,A/W,M,1,S,6,1,1,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
35,U,A/W,M,2,M,6,1,1,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
35,U,A/W,M,3,T,6,1,1,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
35,U,A/W,M,4,I,6,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
36,U,W,F,1,I,7,2,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
36,U,W,F,2,T,7,2,2,1,1,V,0,A,K,,,,,,,,,,,,,,,,,,,,
36,U,W,F,3,S,7,2,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
36,U,W,F,4,M,7,2,2,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
37,U,W,F,1,I,7,1,1,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
37,U,W,F,2,T,7,1,1,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
37,U,W,F,3,S,7,1,1,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
37,U,W,F,4,M,7,1,1,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
38,U,W,M,1,M,8,1,2,1,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
38,U,W,M,2,I,8,1,2,1,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
38,U,W,M,3,S,8,1,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
38,U,W,M,4,T,8,1,2,1,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
39,U,W,M,1,T,5,2,1,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
39,U,W,M,2,M,5,2,1,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
39,U,W,M,3,I,5,2,1,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
39,U,W,M,4,S,5,2,1,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
40,U,AA/W,F,1,I,7,1,2,1,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
40,U,AA/W,F,2,T,7,1,2,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
40,U,AA/W,F,3,S,7,1,2,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
40,U,AA/W,F,4,M,7,1,2,1,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
41,U,W,M,1,S,6,2,1,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
41,U,W,M,2,M,6,2,1,2,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
41,U,W,M,3,T,6,2,1,2,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
41,U,W,M,4,I,6,2,1,2,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
42,U,AA,M,1,I,7,2,2,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
43,U,A,M,1,M,8,2,1,1,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
43,U,A,M,2,I,8,2,1,1,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
43,U,A,M,3,S,8,2,1,1,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
43,U,A,M,4,T,8,2,1,1,1,B,0,A,K,,,,,,,,,,,,,,,,,,,,
44,U,W,M,1,I,7,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
44,U,W,M,2,T,7,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
44,U,W,M,3,S,7,1,1,2,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
44,U,W,M,4,M,7,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
45,U,W,F,1,M,8,2,1,2,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
45,U,W,F,2,I,8,2,1,2,0,,,,,1,,,,,,,,,,,,,,,,,,,
45,U,W,F,3,S,8,2,1,2,0,,,,,1,,,,,,,,,,,,,,,,,,,
45,U,W,F,4,T,8,2,1,2,0,,,,,1,,,,,,,,,,,,,,,,,,,
46,U,W,M,1,I,7,2,1,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
46,U,W,M,2,T,7,2,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
46,U,W,M,3,S,7,2,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
46,U,W,M,4,M,7,2,1,2,1,B,0,S,K,,,,,,,,,,,,,,,,,,,,
47,U,W,M,1,M,8,2,2,1,1,B,1,S,I,,,,,,,,,,,,,,,,,,,,
47,U,W,M,2,I,8,2,2,1,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
47,U,W,M,3,S,8,2,2,1,1,B,1,A,I,,,,,,,,,,,,,,,,,,,,
48,U,W,F,1,M,8,1,1,2,1,V,0,A,K,,,,,,,,,,,,,,,,,,,,
48,U,W,F,2,I,8,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
48,U,W,F,3,S,8,1,1,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
48,U,W,F,4,T,8,1,1,2,1,B,0,A,I,,,,,,,,,,,,,,,,,,,,
49,U,A,F,1,M,8,1,2,2,1,B,1,S,K,,,,,,,,,,,,,,,,,,,,
49,U,A,F,2,I,8,1,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
49,U,A,F,3,S,8,1,2,2,1,B,1,A,K,,,,,,,,,,,,,,,,,,,,
49,U,A,F,4,T,8,1,2,2,1,B,0,S,I,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
